Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
29303,Male,1991,28,145,3640,Journal Square,40.73367,-74.0625,00:37.7,3206,Hilltop,40.7311689,-74.0575736,03:03.0
29297,Female,1993,26,212,3194,McGinley Square,40.72533993,-74.06762213,03:00.6,3679,Bergen Ave,40.72210379,-74.071455,06:33.3
29435,Male,1977,42,569,3214,Essex Light Rail,40.7127742,-74.0364857,07:13.0,3184,Paulus Hook,40.7141454,-74.0335519,16:42.9
29509,Male,1965,54,1380,3214,Essex Light Rail,40.7127742,-74.0364857,07:25.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,30:26.2
29226,Female,1968,51,1346,3214,Essex Light Rail,40.7127742,-74.0364857,07:56.5,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,30:22.5
26188,Male,1981,38,748,3185,City Hall,40.7177325,-74.043845,08:10.3,3280,Astor Place,40.7192822,-74.07126188,20:38.6
29643,Female,1969,50,137,3214,Essex Light Rail,40.7127742,-74.0364857,08:40.2,3214,Essex Light Rail,40.7127742,-74.0364857,10:57.8
29475,Unknown,1969,50,631,3184,Paulus Hook,40.7141454,-74.0335519,17:40.9,3187,Warren St,40.7211236,-74.03805095,28:12.6
29550,Male,1992,27,1796,3199,Newport Pkwy,40.7287448,-74.0321082,18:46.2,3199,Newport Pkwy,40.7287448,-74.0321082,48:42.9
26158,Male,1991,28,1760,3199,Newport Pkwy,40.7287448,-74.0321082,19:24.7,3199,Newport Pkwy,40.7287448,-74.0321082,48:44.9
29530,Male,1979,40,1149,3640,Journal Square,40.73367,-74.0625,29:29.3,3191,Union St,40.7182113,-74.0836394,48:39.3
26316,Unknown,1991,28,417,3276,Marin Light Rail,40.71458404,-74.04281706,30:54.8,3211,Newark Ave,40.72152515,-74.04630454,37:51.9
29677,Female,1990,29,422,3276,Marin Light Rail,40.71458404,-74.04281706,30:58.8,3211,Newark Ave,40.72152515,-74.04630454,38:01.0
29509,Male,1991,28,99,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42:16.5,3639,Harborside,40.7192517,-74.034234,43:56.0
29581,Male,1989,30,376,3199,Newport Pkwy,40.7287448,-74.0321082,44:49.2,3203,Hamilton Park,40.72759597,-74.04424731,51:06.0
29200,Male,1995,24,375,3185,City Hall,40.7177325,-74.043845,48:12.5,3192,Liberty Light Rail,40.7112423,-74.0557013,54:28.1
29298,Unknown,1969,50,2578,3639,Harborside,40.7192517,-74.034234,55:33.6,3196,Riverview Park,40.7443187,-74.0439909,38:32.0
29304,Male,1992,27,801,3199,Newport Pkwy,40.7287448,-74.0321082,00:05.9,3214,Essex Light Rail,40.7127742,-74.0364857,13:27.9
29446,Male,1991,28,752,3199,Newport Pkwy,40.7287448,-74.0321082,00:54.4,3214,Essex Light Rail,40.7127742,-74.0364857,13:27.3
29641,Male,1962,57,214,3481,York St,40.71649,-74.04105,00:54.9,3186,Grove St PATH,40.71958612,-74.04311746,04:29.1
26164,Unknown,1969,50,173929,3211,Newark Ave,40.72152515,-74.04630454,02:35.4,3187,Warren St,40.7211236,-74.03805095,21:24.8
29489,Unknown,1969,50,1676,3276,Marin Light Rail,40.71458404,-74.04281706,03:32.3,3196,Riverview Park,40.7443187,-74.0439909,31:28.4
