tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
284,48:22.0,53:06.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26303,Subscriber,1984,1
370,48:22.5,54:32.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29667,Subscriber,1984,1
1181,37:04.3,56:45.3,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,26307,Customer,1994,1
383,44:46.0,51:09.9,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29261,Subscriber,1987,1
377,44:46.2,51:03.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,33665,Subscriber,1985,1
497,23:15.8,31:33.0,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29569,Subscriber,1969,2
426,49:48.3,56:54.4,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29497,Subscriber,1965,2
138,01:01.0,03:19.3,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,26178,Subscriber,1987,1
280,41:15.9,45:56.2,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29459,Subscriber,1981,1
2026,43:57.5,17:44.1,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29434,Customer,1969,0
2020,44:12.4,17:52.9,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29127,Customer,1969,0
2088,51:51.0,26:39.3,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,33619,Subscriber,1955,2
2068,52:01.2,26:29.7,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,26286,Subscriber,1956,1
818,28:42.9,42:21.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26297,Subscriber,1991,1
222,19:50.7,23:32.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29588,Subscriber,1987,1
2085,40:56.0,15:42.0,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29647,Customer,1999,2
255,45:22.6,49:38.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,33555,Subscriber,1990,1
288,48:10.5,52:58.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29676,Subscriber,1987,1
201,22:45.4,26:07.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,33613,Subscriber,1991,1
1168,22:59.8,42:28.0,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,33593,Subscriber,1990,1
1170,23:09.1,42:39.4,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,32077,Subscriber,1991,2
1196,23:15.5,43:12.2,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,16590,Subscriber,1990,1
203,25:19.6,28:43.1,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,33674,Subscriber,1969,0
260,16:36.0,20:56.5,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,33635,Subscriber,1993,1
596,30:48.2,40:44.8,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,33608,Subscriber,1995,1
576,40:52.5,50:28.9,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,29519,Subscriber,1985,1
878,40:54.3,55:33.1,3183,Exchange Place,40.7162469,-74.0334588,3203,Hamilton Park,40.72759597,-74.04424731,29250,Subscriber,1987,1
218,42:06.1,45:44.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29215,Subscriber,1990,1
379,25:03.8,31:23.4,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26310,Subscriber,1991,1
227,25:52.4,29:40.2,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29484,Subscriber,1985,2
592,27:04.9,36:57.5,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29295,Subscriber,1960,2
461,04:52.6,12:34.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29621,Subscriber,1983,1
4378,19:53.4,32:52.2,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29303,Customer,1969,0
4350,20:12.0,32:42.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29623,Customer,1969,0
351,25:40.2,31:32.1,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29499,Subscriber,1981,1
2423,30:57.6,11:21.0,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,26202,Subscriber,1969,0
506,48:58.2,57:25.1,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,26195,Subscriber,1968,1
238,11:13.7,15:12.1,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,33654,Customer,1992,2
216,11:20.7,14:57.5,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26312,Customer,1969,0
1675,12:01.5,39:57.2,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.72601173,-74.05038893,26202,Subscriber,1969,0
975,06:25.2,22:40.7,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26282,Customer,1992,2
942,06:46.1,22:28.9,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26312,Customer,1969,0
273,41:23.6,45:57.6,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29303,Customer,1978,1
589,05:54.2,15:43.9,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26290,Subscriber,1991,2
68,06:04.2,07:12.5,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29623,Subscriber,1988,1
498,07:28.9,15:47.5,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29635,Subscriber,1988,1
451,26:28.3,33:59.8,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29669,Subscriber,1985,1
2891,39:54.8,28:05.9,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29121,Customer,1969,0
2891,39:55.1,28:06.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29245,Customer,1969,0
192,09:19.3,12:31.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26187,Subscriber,1985,1
702,42:48.5,54:31.4,3183,Exchange Place,40.7162469,-74.0334588,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29538,Subscriber,1988,1
569,11:55.0,21:24.5,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29245,Subscriber,1981,1
1789,19:59.7,49:49.0,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,26290,Customer,1977,1
1646,22:12.4,49:39.4,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29121,Customer,1979,2
593,41:17.4,51:10.6,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29244,Subscriber,1988,2
559,41:51.2,51:10.3,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,33652,Subscriber,1987,1
1589,43:06.7,09:35.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29267,Customer,1969,0
1271,21:47.1,42:58.7,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29479,Customer,1969,0
1246,22:07.3,42:54.1,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29207,Customer,1969,0
372,33:38.1,39:51.1,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,33621,Subscriber,1990,1
3573,40:23.0,39:56.6,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,26290,Customer,1969,0
3513,41:26.8,40:00.5,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,26210,Customer,1969,0
1596,54:48.9,21:25.2,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,26274,Customer,1969,0
1238,01:15.3,21:54.0,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29250,Customer,1969,0
747,39:49.8,52:17.4,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,33658,Subscriber,1979,2
121,04:08.4,06:10.3,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29442,Subscriber,1981,1
204,04:43.0,08:07.3,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,33592,Customer,1974,1
1722,04:45.0,33:27.2,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29512,Customer,1975,2
1115,09:09.2,27:44.8,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29584,Customer,1974,1
4880,12:03.8,33:23.9,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,26213,Customer,1969,0
4870,12:13.9,33:24.7,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29121,Customer,1969,0
810,19:58.9,33:29.3,3183,Exchange Place,40.7162469,-74.0334588,3268,Lafayette Park,40.71346383,-74.06285852,33592,Subscriber,1975,1
557,23:02.8,32:19.9,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29205,Subscriber,1985,1
1095,46:06.7,04:22.5,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,29279,Subscriber,1987,1
1092,01:31.7,19:44.5,3183,Exchange Place,40.7162469,-74.0334588,3483,Montgomery St,40.71942,-74.05099,26304,Subscriber,1993,1
263,19:46.5,24:10.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26274,Subscriber,1977,1
