tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
145,00:37.7,03:03.0,3640,Journal Square,40.73367,-74.0625,3206,Hilltop,40.7311689,-74.0575736,29303,Subscriber,1991,1
212,03:00.6,06:33.3,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,29297,Subscriber,1993,2
569,07:13.0,16:42.9,3214,Essex Light Rail,40.7127742,-74.0364857,3184,Paulus Hook,40.7141454,-74.0335519,29435,Customer,1977,1
1380,07:25.3,30:26.2,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29509,Subscriber,1965,1
1346,07:56.5,30:22.5,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29226,Subscriber,1968,2
748,08:10.3,20:38.6,3185,City Hall,40.7177325,-74.043845,3280,Astor Place,40.7192822,-74.07126188,26188,Subscriber,1981,1
137,08:40.2,10:57.8,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,29643,Customer,1969,2
631,17:40.9,28:12.6,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,29475,Customer,1969,0
1796,18:46.2,48:42.9,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,29550,Subscriber,1992,1
1760,19:24.7,48:44.9,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,26158,Subscriber,1991,1
1149,29:29.3,48:39.3,3640,Journal Square,40.73367,-74.0625,3191,Union St,40.7182113,-74.0836394,29530,Subscriber,1979,1
417,30:54.8,37:51.9,3276,Marin Light Rail,40.71458404,-74.04281706,3211,Newark Ave,40.72152515,-74.04630454,26316,Customer,1991,0
422,30:58.8,38:01.0,3276,Marin Light Rail,40.71458404,-74.04281706,3211,Newark Ave,40.72152515,-74.04630454,29677,Customer,1990,2
99,42:16.5,43:56.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,29509,Subscriber,1991,1
376,44:49.2,51:06.0,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,29581,Subscriber,1989,1
375,48:12.5,54:28.1,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,29200,Subscriber,1995,1
2578,55:33.6,38:32.0,3639,Harborside,40.7192517,-74.034234,3196,Riverview Park,40.7443187,-74.0439909,29298,Customer,1969,0
801,00:05.9,13:27.9,3199,Newport Pkwy,40.7287448,-74.0321082,3214,Essex Light Rail,40.7127742,-74.0364857,29304,Subscriber,1992,1
752,00:54.4,13:27.3,3199,Newport Pkwy,40.7287448,-74.0321082,3214,Essex Light Rail,40.7127742,-74.0364857,29446,Subscriber,1991,1
214,00:54.9,04:29.1,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,29641,Subscriber,1962,1
173929,02:35.4,21:24.8,3211,Newark Ave,40.72152515,-74.04630454,3187,Warren St,40.7211236,-74.03805095,26164,Customer,1969,0
1676,03:32.3,31:28.4,3276,Marin Light Rail,40.71458404,-74.04281706,3196,Riverview Park,40.7443187,-74.0439909,29489,Customer,1969,0
1671,03:52.5,31:44.4,3276,Marin Light Rail,40.71458404,-74.04281706,3196,Riverview Park,40.7443187,-74.0439909,29591,Customer,1969,0
443,15:18.0,22:41.6,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29636,Subscriber,1980,2
946,26:45.3,42:31.8,3186,Grove St PATH,40.71958612,-74.04311746,3199,Newport Pkwy,40.7287448,-74.0321082,29641,Subscriber,1962,1
314,42:08.8,47:23.7,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.7192517,-74.034234,29636,Subscriber,1981,1
555,53:24.8,02:40.1,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,26293,Customer,1995,1
530,53:49.3,02:39.7,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,29606,Customer,1995,2
324,04:32.2,09:56.6,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,26276,Subscriber,1991,2
310,04:34.1,09:44.1,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,26155,Subscriber,1993,1
387,17:06.3,23:33.6,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,29628,Subscriber,1988,1
2969,17:22.9,06:52.5,3273,Manila & 1st,40.72165072,-74.04288411,3273,Manila & 1st,40.72165072,-74.04288411,29526,Customer,1969,0
358,24:01.4,29:59.6,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,29622,Subscriber,1991,1
724,26:41.7,38:46.6,3199,Newport Pkwy,40.7287448,-74.0321082,3205,JC Medical Center,40.71653978,-74.04963791,29641,Subscriber,1962,1
348,37:37.8,43:25.8,3275,Columbus Drive,40.7183552,-74.03891444,3202,Newport PATH,40.7272235,-74.0337589,29548,Subscriber,1980,1
221,42:53.0,46:34.2,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,29570,Subscriber,1993,1
629,45:17.0,55:47.0,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,26297,Subscriber,1988,1
242,51:07.4,55:10.2,3205,JC Medical Center,40.71653978,-74.04963791,3481,York St,40.71649,-74.04105,26180,Subscriber,1962,1
373,51:12.7,57:26.2,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29656,Subscriber,1989,1
22614,55:46.0,12:40.3,3268,Lafayette Park,40.71346383,-74.06285852,3694,Jackson Square,40.71113,-74.0789,26192,Customer,1991,1
389,04:10.3,10:40.1,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29220,Subscriber,1969,1
1004,10:44.3,27:28.8,3185,City Hall,40.7177325,-74.043845,3694,Jackson Square,40.71113,-74.0789,29584,Subscriber,1988,1
193,17:51.1,21:05.1,3220,5 Corners Library,40.73496102,-74.05950308,3207,Oakland Ave,40.7376037,-74.0524783,29569,Subscriber,1993,1
136,41:27.9,43:44.6,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,29679,Subscriber,1989,1
150,41:44.3,44:15.3,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,26311,Subscriber,1960,1
159,00:04.7,02:44.5,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,26271,Subscriber,1986,1
81,22:14.1,23:35.3,3194,McGinley Square,40.72533993,-74.06762213,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29453,Subscriber,1989,1
322,32:27.6,37:50.3,3677,Glenwood Ave,40.72755147,-74.07106072,3640,Journal Square,40.73367,-74.0625,29207,Subscriber,2000,2
195,40:03.1,43:19.0,3220,5 Corners Library,40.73496102,-74.05950308,3206,Hilltop,40.7311689,-74.0575736,26280,Subscriber,1981,1
439,22:53.6,30:13.5,3640,Journal Square,40.73367,-74.0625,3677,Glenwood Ave,40.72755147,-74.07106072,29207,Subscriber,1971,1
212,07:41.9,11:14.7,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,29437,Subscriber,1964,1
520,37:06.2,45:46.8,3203,Hamilton Park,40.72759597,-74.04424731,3205,JC Medical Center,40.71653978,-74.04963791,29521,Subscriber,1978,1
934,40:46.0,56:20.5,3639,Harborside,40.7192517,-74.034234,3192,Liberty Light Rail,40.7112423,-74.0557013,26269,Customer,1963,1
592,46:00.6,55:53.3,3203,Hamilton Park,40.72759597,-74.04424731,3639,Harborside,40.7192517,-74.034234,26297,Subscriber,1976,1
648,49:39.4,00:28.3,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,29264,Customer,1987,1
